[session 166 finished] 10:15:02;	 mean reward = 0.2250;	 mean loss = 0.0845;	 total reward = 81.0170;	 epsilon = 0.9836
[session 167 finished] 10:15:03;	 mean reward = 0.4856;	 mean loss = 0.5984;	 total reward = 23.3077;	 epsilon = 0.9834
[session 168 finished] 10:15:11;	 mean reward = 0.2129;	 mean loss = 0.0924;	 total reward = 76.6555;	 epsilon = 0.9834
[session 169 finished] 10:15:19;	 mean reward = 0.2250;	 mean loss = 0.1056;	 total reward = 80.9921;	 epsilon = 0.9832
[session 170 finished] 10:15:27;	 mean reward = 0.1993;	 mean loss = 0.0776;	 total reward = 71.7584;	 epsilon = 0.9832
[session 171 finished] 10:15:35;	 mean reward = 0.2920;	 mean loss = 0.1331;	 total reward = 105.1041;	 epsilon = 0.9830
[session 172 finished] 10:15:42;	 mean reward = 0.1999;	 mean loss = 0.0860;	 total reward = 71.9524;	 epsilon = 0.9830
[session 173 finished] 10:15:43;	 mean reward = 0.8165;	 mean loss = 2.8710;	 total reward = 6.5319;	 epsilon = 0.9828
[session 174 finished] 10:15:51;	 mean reward = 0.1761;	 mean loss = 0.0707;	 total reward = 63.3872;	 epsilon = 0.9828
[session 175 finished] 10:15:58;	 mean reward = 0.2293;	 mean loss = 0.0952;	 total reward = 82.5624;	 epsilon = 0.9826
[session 176 finished] 10:16:06;	 mean reward = 0.2227;	 mean loss = 0.0972;	 total reward = 80.1875;	 epsilon = 0.9826
[session 177 finished] 10:16:11;	 mean reward = 0.2625;	 mean loss = 0.1882;	 total reward = 56.9605;	 epsilon = 0.9824
[session 178 finished] 10:16:16;	 mean reward = 0.2462;	 mean loss = 0.1875;	 total reward = 61.7978;	 epsilon = 0.9824
[session 179 finished] 10:16:17;	 mean reward = 0.4126;	 mean loss = 0.4919;	 total reward = 24.7574;	 epsilon = 0.9822
[session 180 finished] 10:16:24;	 mean reward = 0.2616;	 mean loss = 0.1776;	 total reward = 83.7097;	 epsilon = 0.9822
[session 181 finished] 10:16:27;	 mean reward = 0.2815;	 mean loss = 0.2630;	 total reward = 43.6252;	 epsilon = 0.9820
[session 182 finished] 10:16:35;	 mean reward = 0.2190;	 mean loss = 0.1008;	 total reward = 78.8224;	 epsilon = 0.9820
[session 183 finished] 10:16:43;	 mean reward = 0.1889;	 mean loss = 0.0806;	 total reward = 68.0159;	 epsilon = 0.9818
[session 184 finished] 10:16:43;	 mean reward = 0.7431;	 mean loss = 1.9040;	 total reward = 9.6606;	 epsilon = 0.9818
[session 185 finished] 10:16:50;	 mean reward = 0.2264;	 mean loss = 0.0953;	 total reward = 81.5215;	 epsilon = 0.9816
[session 186 finished] 10:16:51;	 mean reward = 0.5306;	 mean loss = 0.8958;	 total reward = 15.3872;	 epsilon = 0.9816
[session 187 finished] 10:16:58;	 mean reward = 0.2058;	 mean loss = 0.1401;	 total reward = 70.5970;	 epsilon = 0.9814
[session 188 finished] 10:17:05;	 mean reward = 0.2448;	 mean loss = 0.0933;	 total reward = 88.1182;	 epsilon = 0.9814
[session 189 finished] 10:17:07;	 mean reward = 0.3197;	 mean loss = 0.3910;	 total reward = 28.1320;	 epsilon = 0.9812
[session 190 finished] 10:17:14;	 mean reward = 0.2054;	 mean loss = 0.0798;	 total reward = 73.9517;	 epsilon = 0.9812
[session 191 finished] 10:17:16;	 mean reward = 0.2889;	 mean loss = 0.3043;	 total reward = 28.8909;	 epsilon = 0.9810
[session 192 finished] 10:17:16;	 mean reward = 1.4609;	 mean loss = 4.5130;	 total reward = 7.3047;	 epsilon = 0.9810
[session 193 finished] 10:17:23;	 mean reward = 0.2041;	 mean loss = 0.0730;	 total reward = 73.4712;	 epsilon = 0.9808
[session 194 finished] 10:17:31;	 mean reward = 0.2535;	 mean loss = 0.1760;	 total reward = 78.5743;	 epsilon = 0.9808
[session 195 finished] 10:17:40;	 mean reward = 0.2055;	 mean loss = 0.0812;	 total reward = 73.9952;	 epsilon = 0.9806
[session 196 finished] 10:17:48;	 mean reward = 0.2037;	 mean loss = 0.0763;	 total reward = 73.3309;	 epsilon = 0.9806
[session 197 finished] 10:17:49;	 mean reward = 0.4498;	 mean loss = 0.5722;	 total reward = 23.3871;	 epsilon = 0.9804
[session 198 finished] 10:17:55;	 mean reward = 0.2366;	 mean loss = 0.1649;	 total reward = 70.7480;	 epsilon = 0.9804
[session 199 finished] 10:17:56;	 mean reward = 0.8525;	 mean loss = 2.6303;	 total reward = 7.6728;	 epsilon = 0.9802
[session 200 finished] 10:17:57;	 mean reward = 0.3929;	 mean loss = 0.4714;	 total reward = 22.7855;	 epsilon = 0.9802
Model saved in path: ./checkpoints/new_catch_training_200_epochs.ckpt
[session 201 finished] 10:18:02;	 mean reward = 0.2585;	 mean loss = 0.2063;	 total reward = 58.4259;	 epsilon = 0.9800
[session 202 finished] 10:18:10;	 mean reward = 0.2392;	 mean loss = 0.0996;	 total reward = 86.1109;	 epsilon = 0.9800
[session 203 finished] 10:18:18;	 mean reward = 0.2158;	 mean loss = 0.0814;	 total reward = 77.7037;	 epsilon = 0.9798
[session 204 finished] 10:18:19;	 mean reward = 0.5727;	 mean loss = 1.0246;	 total reward = 16.0352;	 epsilon = 0.9798
[session 205 finished] 10:18:22;	 mean reward = 0.2701;	 mean loss = 0.2637;	 total reward = 38.6237;	 epsilon = 0.9796
[session 206 finished] 10:18:27;	 mean reward = 0.2142;	 mean loss = 0.1774;	 total reward = 60.4100;	 epsilon = 0.9796
[session 207 finished] 10:18:35;	 mean reward = 0.2195;	 mean loss = 0.0864;	 total reward = 79.0138;	 epsilon = 0.9794
[session 208 finished] 10:18:43;	 mean reward = 0.1918;	 mean loss = 0.0807;	 total reward = 69.0585;	 epsilon = 0.9794
[session 209 finished] 10:18:51;	 mean reward = 0.2195;	 mean loss = 0.0919;	 total reward = 79.0188;	 epsilon = 0.9792
[session 210 finished] 10:18:59;	 mean reward = 0.2072;	 mean loss = 0.0663;	 total reward = 74.5768;	 epsilon = 0.9792
